annee;siret;siren;nom_commune;code_insee;depenses_culturelles_totales_keur;depenses_culturelles_fonctionnement_keur;depenses_culturelles_investissement_keur;depenses_culturelles_totales_euros_par_habitant;depenses_culturelles_fonctionnement_euros_par_habitant;depenses_culturelles_investissement_euros_par_habitant;depenses_culturelles_totales_pct;depenses_culturelles_fonctionnement_pct;depenses_culturelles_investissement_pct;population_2023
2023;21440056600011;214400566;00000;44056;138;135;3;37;36;1;0,039;0,045;0,005;3766
2023;21830055600014;218300556;00000;83055;701;527;174;120;90;30;0,084;0,071;0,176;5857
2023;21760259800013;217602598;00000;76259;4468;3885;584;244;212;32;0,133;0,137;0,108;18334
2023;21670137500018;216701375;00000;67137;843;461;382;144;79;65;0,114;0,09;0,168;5845
2023;21590225500011;215902255;00000;59225;1247;1155;93;183;169;14;0,107;0,137;0,029;6831
2023;21590227100018;215902271;00000;59227;171;155;16;31;28;3;0,032;0,04;0,011;5564
2023;21310182700011;213101827;00000;31182;408;381;27;74;69;5;0,045;0,051;0,017;5509
2023;21010160600015;210101606;00000;01160;2567;2280;287;238;211;27;0,131;0,157;0,057;10784
2023;21590230500014;215902305;00000;59230;399;388;11;75;73;2;0,076;0,083;0,019;5292
2023;21770181200018;217701812;00000;77181;196;127;69;51;33;18;0,025;0,022;0,034;3832
2023;21450145400018;214501454;00000;45145;301;25;276;79;7;73;0,048;0,007;0,101;3791
2023;21420094100018;214200941;00000;42094;993;971;22;117;114;3;0,076;0,111;0,005;8488
2023;21870650500011;218706505;00000;87065;485;465;20;78;75;3;0,057;0,066;0,013;6191
2023;21690276700013;216902767;00000;69276;2444;2135;308;245;214;31;0,107;0,116;0,069;9976
2023;21460102300010;214601023;00000;46102;1936;1604;331;187;155;32;0,116;0,128;0,081;10380
2023;20006258600157;200062586;00000;74282;123;99;24;13;10;2;0,008;0,012;0,003;9781
2023;21740128000011;217401280;00000;74128;0;0;0;0;0;0;0;0;0;3596
2023;21420095800012;214200958;00000;42095;1968;1813;156;115;106;9;0,071;0,078;0,037;17126
2023;21510232800014;215102328;00000;51250;658;643;15;114;111;3;0,168;0,173;0,077;5775
2023;21830057200011;218300572;00000;83057;36;36;0;10;10;0;0,009;0,011;0;3650
2023;21830058000014;218300580;00000;83058;46;43;3;11;10;1;0,008;0,01;0,002;4298
2023;21160138000010;211601380;00000;16138;159;124;34;40;31;9;0,041;0,035;0,094;3970
2023;21610169100014;216101691;00000;61169;623;603;19;42;40;1;0,033;0,039;0,006;14928
2023;21590234700016;215902347;00000;59234;55;55;0;10;10;0;0,007;0,008;0;5792
2023;21320132000016;213201320;00000;32132;25;25;1;4;4;0;0,003;0,004;0;6001
2023;21110145600013;211101456;00000;11145;239;239;0;63;63;0;0,018;0,026;0;3773
2023;21450147000014;214501470;00000;45147;4659;4587;72;218;215;3;0,131;0,141;0,023;21364
2023;21910235700015;219102357;00000;91235;786;727;59;57;53;4;0,031;0,047;0,006;13729
2023;21140271400011;211402714;00000;14271;505;488;17;100;97;3;0,094;0,107;0,02;5051
2023;21590239600013;215902396;00000;59239;12;12;0;2;2;0;0,003;0,003;0;5703
